category,心律失常
category,心肌病
category,冠状动脉粥样硬化性心脏病
category,动脉粥样硬化
category,心脏瓣膜病
risk_factor,年龄>40
risk_factor,年龄>70
risk_factor,性别
risk_factor,肥胖
risk_factor,高脂血症
risk_factor,心脏手术
risk_factor,正性肌力药物
disease,室上性心动过速
disease,心力衰竭
disease,感染性心内膜炎
disease,高血压
disease,心绞痛
disease,缺血性心肌病
disease,心肌梗死
disease,周围动脉病
disease,窦性心动过速
disease,窦性心动过缓
disease,窦性心律不齐
disease,窦性停搏
disease,窦房传导阻滞
disease,病态窦房结综合征
disease,房性期前收缩
disease,房性心动过速
disease,心房扑动
disease,心房颤动
disease,预激综合征
disease,室性期前收缩
disease,室性心动过速
disease,房室阻滞
disease,扩张型心肌病
disease,肥厚型心肌病
disease,限制型心肌病
disease,心肌炎
disease,二尖瓣狭窄
disease,二尖瓣关闭不全
disease,主动脉瓣狭窄
disease,主动脉瓣关闭不全
disease,三尖瓣关闭不全
disease,肺动脉瓣关闭不全
disease,主动脉夹层
disease,肺动脉高压
disease,慢性肺源性心脏病
disease,心室壁瘤
disease,栓塞
disease,三尖瓣狭窄
disease,阻塞性黄疸
disease,脑卒中
disease,贫血
disease,甲状腺功能亢进
disease,甲状旁腺功能亢进
disease,心肌淀粉样变性
disease,肺水肿
disease,糖尿病
disease,甲状腺功能减退
disease,肾脏疾病
disease,原发性醛固酮增多症
disease,睡眠呼吸暂停
disease,二尖瓣脱垂
disease,腱索断裂
disease,结缔组织病
treatment,利尿剂
treatment,ACEI
treatment,ARB
treatment,醛固酮受体拮抗剂
treatment,奎尼丁
treatment,美西律
treatment,普罗帕酮
treatment,beta受体阻滞剂
treatment,正性肌力药物
treatment,起搏器
treatment,除颤器
treatment,心脏再同步化治疗
treatment,胺碘酮
treatment,维拉帕米
treatment,电复律
treatment,导管射频消融
treatment,血管扩张剂
treatment,钙通道阻滞剂
treatment,曲美他嗪
treatment,抗血小板药
treatment,尼可地尔
treatment,调脂类药物
treatment,PCI
treatment,CABG
treatment,溶栓疗法
treatment,抗凝药
treatment,瓣膜手术
feature,造影
feature,年龄
feature,性别
feature,血压Low
feature,血压high
feature,weight
feature,其它抗心律失常药
feature,White Blood Cells_Blood
feature,Urea Nitrogen_Blood
feature,Specific Gravity_Urine
feature,Sodium_Blood
feature,Red Blood Cells_Blood
feature,RDW_Blood
feature,PTT_Blood
feature,PT_Blood
feature,Potassium_Blood
feature,Platelet Count_Blood
feature,Phosphate_Blood
feature,pH_Urine
feature,Neutrophils_Blood
feature,Monocytes_Blood
feature,MCV_Blood
feature,MCHC_Blood
feature,MCH_Blood
feature,Magnesium_Blood
feature,Lymphocytes_Blood
feature,INR(PT)_Blood
feature,Hematocrit_Blood
feature,Eosinophils_Blood
feature,Creatinine_Blood
feature,Chloride_Blood
feature,"Calcium, Total_Blood"
feature,Bicarbonate_Blood
feature,Basophils_Blood
feature,Anion Gap_Blood
